org_id,name,org_type,org_type_code,source_dataset,source_url
CA_ON-ONT-1597880,CANADEM,International NGO,21,canadem-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/canadem-org.xml
GB-COH-06274284,Carbon Trust Advisory Ltd,Private Sector,70,carbontrustadvisory-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/carbontrustadvisory-org.xml
GB-COH-05543952,Cardno Emerging Markets,Private Sector,70,cardnoem-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/cardnoem-org.xml
NL-KVK-41158230,CARE Nederland,International NGO,21,carenederland-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/carenederland-org.xml
DK-CVR-29439915,Caritas Denmark,National NGO,22,caritas_denmark-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/caritas_denmark-org.xml
FI-PRO-139407,Caritas Finland,National NGO,22,caritasfin-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/caritasfin-org.xml
NG-CAC-RC481360,THE CONVENTION ON BUSINESS INTEGRITY LTD (GTE),National NGO,22,cbi-nigeria-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/cbi-nigeria-org.xml
GB-CHC-1058162,Christian Blind Mission (UK) Ltd.,International NGO,21,cbm-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/cbm-org.xml
NL-KVK-41210820,Clean Clothes Campaign,International NGO,21,ccc-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/ccc-org.xml
GB-COH-03877777,CDC Group plc,Other Public Sector,15,cdc-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/cdc-org.xml
BE-BCE_KBO-0463455904,Chaîne de l'Espoir Belgique / Keten van Hoop België / Chain of Hope Belgium,National NGO,22,cdeb-kvhb_admin-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/cdeb-kvhb_admin-org.xml
US-EIN-56-2460366,Conflict Dynamics International,International NGO,21,cdi-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/cdi-org.xml
